,Human,Gorilla,Tantalus_Monkey,Colobus_Monkey,Baboon,Sooty_Mangabey,Mona_Monkey,Red-tailed_Guenon,DeBrazzas_Monkey,Sykes_Monkey,LHoests_Monkey,Red-capped_Mangabey,Chimp_pts,Grivet,Vervet,Talapoin_Monkey,Sun-tailed_Monkey,Mandrill,Chimp_ptt,Western_red_colobus,Greater_Spot-nosed_Monkey,Mustached_Monkey,Sabaeus_Monkey,Red-eared_Guenon
Human,,0.368246313186,0.0862240590579,0.0968994942768,0.10580323506,0.34458257591,0.0986796934271,0.111148775346,0.0903744443518,0.14506138566,0.103428233039,0.146253109217,0.177878561425,0.086816879892,0.0826677732953,0.0654944928547,0.0885955250817,0.0672698540138,0.180866556297,0.0832604115006,0.123036613653,0.0862240590579,0.0927467631689,0.127795173984
Gorilla,229999977.121,,0.403527397845,0.281712950042,0.358532312068,0.413278866601,0.334888234419,0.305853459248,0.270263718722,0.307666015719,0.359746120525,0.241389441356,0.251006235435,0.267252634464,0.291363150024,0.295587628583,0.459709537,0.270866029098,0.357925455142,0.383440625091,0.282315853258,0.303437155773,0.264844328056,0.282918787701
Tantalus_Monkey,0.491584139094,0.274480546223,,0.617471568753,0.665339356484,0.371891146909,0.426700412346,0.391349478697,0.484834213562,0.407792665754,0.479927612676,0.437082150738,0.393784048545,82.1789411389,83.6891637537,0.352465161434,0.508168599989,0.461546104977,0.451142686877,0.413888603222,0.381616264466,0.346401161748,4.36478140408,0.419377662247
Colobus_Monkey,0.432806203116,0.514316936904,0.53031767437,,2.22572041729,0.554976759244,0.564854870783,0.519853190522,0.687161645244,0.924795935974,0.837259241725,0.47379724396,0.502637845145,0.437082150738,0.646666514957,0.368246313186,1.11344792116,0.650398725519,0.367031621226,1.66042853701,0.330649491397,0.505710165395,0.524776493842,0.378576295945
Baboon,0.830940887027,0.678427902055,2.40965719904,37.4335392731,,1.01041276922,8.60730801361,2.98693234723,3.32939634751,2.73697934315,2.5802742768,3.9926112191,1.68615880016,1.62395661002,0.848008137351,1.67531846372,5.24510350256,21.1109718168,0.815790493075,13.3451452451,0.830309235775,1.97069580307,3.09933517121,0.769197807963
Sooty_Mangabey,229999977.121,0.191629719708,0.164740529966,0.251607549318,0.151021230917,,0.185051043624,0.198212130204,0.203600518676,0.170710515584,0.201205370351,0.220980144356,0.229979825698,0.185051043624,0.142678306656,0.154598611571,0.244393834837,0.179073666933,0.170710515584,0.160563370137,0.179671265905,0.142678306656,0.137318172737,0.158177097975
Mona_Monkey,0.129580139088,0.191629719708,0.320361809475,0.339734398509,0.29619125062,0.179671265905,,22.9576660201,72.3414238929,42.9819273504,0.26002921058,0.268456974653,34.2218543992,0.161756690643,0.162353397011,33.8168464297,0.235983489792,0.445638729262,1.77254300179,0.253411677592,2.67890722099,48.4511420724,0.269661439524,6.64878921326
Red-tailed_Guenon,0.479927612676,0.424869295542,0.537093774373,0.649776608613,0.632370613528,0.487288283084,11.5278184658,,3.30243687273,5.97328112995,0.600113076101,0.476249007268,4.28340039903,0.437693127791,0.479927612676,15.6281352955,0.484220776308,0.637962602845,0.983511784044,0.539558778443,5.43358282268,9.53373883936,0.419987716566,12.3477437321
DeBrazzas_Monkey,0.500794838471,0.605070041162,1.11474145684,0.7893236051,0.686537592785,0.654132114394,8.05273645615,1.21932830469,,3.47359902579,0.80822251764,0.479314431718,2.55627913873,0.524776493842,0.585254664356,2.57081626973,0.566090217298,0.655999250874,0.657244172293,0.584017307856,0.65848922475,0.93371240365,0.981592591517,0.670323762544
Sykes_Monkey,0.560532177722,0.720909378792,1.13351333178,1.42792839319,0.929890246681,0.725291127005,1.54329286035,1.36635873901,1.1939104283,,0.880313066797,0.825888614406,1.13027471684,0.689033999936,0.918431096939,1.44785600091,0.889831179642,0.886657632431,1.04251654012,0.92415929964,0.704648474439,0.894275562688,1.05538209947,0.722161141691
LHoests_Monkey,0.387090200553,0.336099586762,0.589586434768,4.96658861138,0.677804309696,0.498337945819,2.09265704473,0.399872690904,0.422428251706,0.837259241725,,0.437082150738,0.568561298936,0.575359446295,0.49035659132,0.442582091232,49.2899185832,2.97942319318,0.385873548826,2.50046516489,0.363388302908,0.513701958493,0.577832472313,0.401090799717
Red-capped_Mangabey,0.569797034098,0.609409094058,0.880313066797,0.779256448118,0.756636468102,5.31537822232,0.807592070123,0.591443394937,0.932438215671,0.888561659571,0.680298876227,,3.8106964632,0.993112356184,0.556211070264,0.81137525614,0.644800851369,5.62550586166,0.851171422358,1.07535095034,0.495881566826,0.657244172293,3.76201504353,0.540175110137
Chimp_pts,0.149232955086,0.254614585322,0.165337390088,0.188040888194,0.127200246837,0.144465569899,0.278096186364,0.26123280308,0.147444955502,0.149232955086,0.129580139088,0.137913620555,,0.125415649024,0.152809783057,0.115308128095,0.133150895986,0.116496789592,527.899415768,0.126605350296,0.151021230917,0.908890185622,0.133746129328,0.124226070149
Grivet,0.873971870646,0.848008137351,5.90063605476,3.48607737416,3.1829430267,1.04380247674,1.51384840701,0.796249721573,1.14193780052,1.08308973158,1.04508855093,1.0213184274,0.917158535496,,7.87465244887,1.03801684497,1.2421847342,1.53123885695,0.792471339982,1.69429530515,0.853069796199,0.980952928928,7.06118371308,0.831572571764
Vervet,0.310083196289,0.34458257591,3.19896545701,1.32219410049,1163.1020627,0.291363150024,0.340340310556,0.24980370097,0.333677007829,0.326412288017,0.327017508554,0.307061798903,0.281712950042,2.70533793223,,0.240788655855,0.305249336404,0.362174115925,0.384048808566,0.544490335845,0.258825742627,0.232380919006,1.612497024,0.234782508728
Talapoin_Monkey,0.546956889501,0.654132114394,1.0110540044,0.991191626909,0.837891261472,0.765428011444,1.95129193976,15.8232942499,2.3816808984,2.80493955766,0.731553576174,0.628023117344,2.27323048313,0.644800851369,0.745969763272,,0.63485561544,0.664716453322,0.903169291535,0.813898048193,0.699024892862,1.52120289504,0.682793968442,1.05087758775
Sun-tailed_Monkey,0.340340310556,0.430974131722,1.24153109469,9.85473676488,0.944548481963,0.438915177467,11.1669782793,0.385265270431,0.98223228823,1.08696098816,72.3009993077,0.446861607673,0.734686040684,0.527238918512,0.545106925813,0.469507890198,,17.5937259039,0.47379724396,16.5056615508,0.339128517921,1.24022392141,0.705273481585,0.438915177467
Mandrill,0.0921536377657,0.114119588835,2.17838864058,0.42059780267,0.274480546223,92.383669015,1.1997713556,0.556211070264,0.365209820042,0.298606051614,9.96435693856,92.7550595485,71.4004232454,3.20660208,1.72281535936,0.150425108276,10.0722777532,,1.15750612807,15.1640992791,0.0933399190418,0.173696662474,29.6295026793,0.100460167017
Chimp_ptt,229999977.121,895546.219923,0.117685573345,0.124820844288,0.106397061863,0.170113378554,0.119468978245,0.10283455882,0.0850385087194,0.113525365038,0.10283455882,0.12065806772,1.21606661835,0.159370172588,0.140891319424,0.101647301908,0.161756690643,0.105209438778,,0.0838530801381,0.106397061863,0.133150895986,0.0939331053869,0.0909674783596
Western_red_colobus,0.784918175258,0.465832548731,1.0727724617,5.44887791644,3.30936403467,0.853702654636,1.50583035888,1.46182468245,0.883484928261,1.29590339217,1.21084974713,0.830309235775,0.832836041709,0.936261186687,0.71215073608,0.750360775587,1.63272702569,2.45714246646,0.737192607755,,0.805700927887,0.524776493842,0.78680601681,0.757264219767
Greater_Spot-nosed_Monkey,0.842948626231,0.997595254061,0.893005570232,1.17244462843,1.49247859483,0.869535036744,8.1430904521,3.8202939908,0.975836856408,1.33206779123,1.08438001217,0.913977724233,0.980952928928,0.808852998549,1.25984633482,1.24610731161,1.00528412045,0.926706048289,0.931801172556,1.03030699913,,1.20628682832,1.00848926914,4.32403030605
Mustached_Monkey,0.152213568305,0.170113378554,0.174891336753,0.186246888925,0.186844857837,0.171904881985,22.2635464464,40.5070814262,0.221579906161,0.752243135171,0.161160015019,0.159966755994,2.47589754937,0.142678306656,0.152809783057,0.379184226409,0.188040888194,0.188040888194,0.274480546223,0.187442857592,413.865059424,,0.190433319111,11.8977162436
Sabaeus_Monkey,0.32217662344,0.28050723728,539.620651261,0.409011599296,0.379184226409,2.42330903236,0.558680080421,0.301625256945,0.457261226925,0.271468370654,0.457261226925,2.56718043674,2.36234875056,1.98110314945,1.00592508173,0.293776950142,0.437082150738,1.48847590223,0.262436520146,0.436471205538,0.281712950042,0.306457613414,,0.281712950042
Red-eared_Guenon,1.10504332064,1.20302865347,1.28277934041,1.65975214913,1.78756866658,1.6300277709,1.61856253467,1.32482630108,1.38684744275,1.42261984984,1.51117514138,1.22781280265,1.4771420413,1.42062974087,1.50048790679,1.29393388011,1.66990186493,1.35777694415,1.31890465073,1.14193780052,1.27229030317,1.43058353036,1.28540301635,
